Source_File,Scanner,Scan_Timestamp,Scan_Region,Resource_ID,Control_ID,Severity,Status,Risk_Weight,Reason,Remediation,ISO_Mappings
iam_security_scanner_20260504_193836.json,IAM Security Scanner,2026-05-04T19:38:36Z,us-east-1,bob-admin,NIST-AC-2(1),Critical,FAIL,10,AdministratorAccess attached directly to user,Detach AdministratorAccess from the user. Grant elevated permissions via IAM roles with time-limited assumption (aws:TokenIssueTime condition) and require MFA. Apply least-privilege inline or managed policies scoped to the specific services the user requires.,ISO-27001-A.8.2
iam_security_scanner_20260504_193836.json,IAM Security Scanner,2026-05-04T19:38:36Z,us-east-1,dave-stale-key,NIST-IA-5(1),High,FAIL,7,Access key LKIA****BKTC is 0 days old (limit: 0),"Rotate key LKIA****BKTC immediately: create a replacement key, update all applications referencing the old key, verify the replacement works, then deactivate and delete the old key. Enforce rotation via AWS Config rule 'access-keys-rotated'.",ISO-27001-A.5.17
s3_security_scanner_20260504_194243.json,S3 Security Scanner,2026-05-04T19:42:43Z,us-east-1,pwc-secure-bucket,NIST-PR.DS-01,Low,PASS,1,Block Public Access is fully enabled — compliant,No action required.,ISO-27001-A.8.3
s3_security_scanner_20260504_194243.json,S3 Security Scanner,2026-05-04T19:42:43Z,us-east-1,pwc-secure-bucket,NIST-SC-28,Low,PASS,1,Server-side encryption enabled (AES256) — compliant,No action required.,ISO-27001-A.8.24
s3_security_scanner_20260504_194243.json,S3 Security Scanner,2026-05-04T19:42:43Z,us-east-1,pwc-leaky-bucket,NIST-PR.DS-01,High,FAIL,7,"Block Public Access partially disabled: BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets","Re-run s3:PutPublicAccessBlock and set BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets to True.",ISO-27001-A.8.3
s3_security_scanner_20260504_194243.json,S3 Security Scanner,2026-05-04T19:42:43Z,us-east-1,pwc-leaky-bucket,NIST-SC-28,Low,PASS,1,Server-side encryption enabled (AES256) — compliant,No action required.,ISO-27001-A.8.24
iam_security_scanner_20260504_194409.json,IAM Security Scanner,2026-05-04T19:44:09Z,us-east-1,alice-no-mfa,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194409.json,IAM Security Scanner,2026-05-04T19:44:09Z,us-east-1,bob-admin,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194409.json,IAM Security Scanner,2026-05-04T19:44:09Z,us-east-1,dave-stale-key,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194409.json,IAM Security Scanner,2026-05-04T19:44:09Z,us-east-1,bob-admin,NIST-AC-2(1),Critical,FAIL,10,AdministratorAccess attached directly to user,Detach AdministratorAccess from the user. Grant elevated permissions via IAM roles with time-limited assumption (aws:TokenIssueTime condition) and require MFA. Apply least-privilege inline or managed policies scoped to the specific services the user requires.,ISO-27001-A.8.2
iam_security_scanner_20260504_194409.json,IAM Security Scanner,2026-05-04T19:44:09Z,us-east-1,dave-stale-key,NIST-IA-5(1),High,FAIL,7,Access key LKIA****BKTC is 0 days old (limit: 0),"Rotate key LKIA****BKTC immediately: create a replacement key, update all applications referencing the old key, verify the replacement works, then deactivate and delete the old key. Enforce rotation via AWS Config rule 'access-keys-rotated'.",ISO-27001-A.5.17
s3_security_scanner_20260504_194648.json,S3 Security Scanner,2026-05-04T19:46:48Z,us-east-1,pwc-secure-bucket,NIST-PR.DS-01,Low,PASS,1,Block Public Access is fully enabled — compliant,No action required.,ISO-27001-A.8.3
s3_security_scanner_20260504_194648.json,S3 Security Scanner,2026-05-04T19:46:48Z,us-east-1,pwc-secure-bucket,NIST-SC-28,Low,PASS,1,Server-side encryption enabled (AES256) — compliant,No action required.,ISO-27001-A.8.24
s3_security_scanner_20260504_194648.json,S3 Security Scanner,2026-05-04T19:46:48Z,us-east-1,pwc-leaky-bucket,NIST-PR.DS-01,High,FAIL,7,"Block Public Access partially disabled: BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets","Re-run s3:PutPublicAccessBlock and set BlockPublicAcls, IgnorePublicAcls, BlockPublicPolicy, RestrictPublicBuckets to True.",ISO-27001-A.8.3
s3_security_scanner_20260504_194648.json,S3 Security Scanner,2026-05-04T19:46:48Z,us-east-1,pwc-leaky-bucket,NIST-SC-28,Low,PASS,1,Server-side encryption enabled (AES256) — compliant,No action required.,ISO-27001-A.8.24
iam_security_scanner_20260504_194819.json,IAM Security Scanner,2026-05-04T19:48:19Z,us-east-1,alice-no-mfa,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194819.json,IAM Security Scanner,2026-05-04T19:48:19Z,us-east-1,bob-admin,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194819.json,IAM Security Scanner,2026-05-04T19:48:19Z,us-east-1,dave-stale-key,NIST-IA-2(1),High,FAIL,7,No MFA device enrolled,Require the user to register a virtual or hardware MFA device via IAM console > Security credentials. Enforce MFA at the account level using an IAM policy condition: aws:MultiFactorAuthPresent = true.,ISO-27001-A.5.17
iam_security_scanner_20260504_194819.json,IAM Security Scanner,2026-05-04T19:48:19Z,us-east-1,bob-admin,NIST-AC-2(1),Critical,FAIL,10,AdministratorAccess attached directly to user,Detach AdministratorAccess from the user. Grant elevated permissions via IAM roles with time-limited assumption (aws:TokenIssueTime condition) and require MFA. Apply least-privilege inline or managed policies scoped to the specific services the user requires.,ISO-27001-A.8.2
iam_security_scanner_20260504_194819.json,IAM Security Scanner,2026-05-04T19:48:19Z,us-east-1,dave-stale-key,NIST-IA-5(1),High,FAIL,7,Access key LKIA****BKTC is 0 days old (limit: 0),"Rotate key LKIA****BKTC immediately: create a replacement key, update all applications referencing the old key, verify the replacement works, then deactivate and delete the old key. Enforce rotation via AWS Config rule 'access-keys-rotated'.",ISO-27001-A.5.17
